KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
62,2,99,1,1,1,0,15,1,2,,1,8,1,1,0,2,,,8,8////,,Chemnitz -> Hermsdorf
58,2,99,1,1,0,1,30,0,,5,3,0,1,0,0,2,,,2,8////,,
63,2,99,1,1,2,1,30,1,1,7,1,0,1,2,0,2,3,,8,8////,,
2,2,99,1,1,0,5,30,1,6,2,5,0,1,0,0,1,,,8,8////,b-c-d-e-f,
10,2,99,1,1,0,6,10,2,2,2,5,0,8,1,0,1,,,4,802//,,kA
29,1,99,1,1,0,7,45,1,2,7,3,0,8,1,1,2,,,8,806//,,
2,1,99,1,1,0,9,30,1,4,3,5,8,1,0,1,1,,,8,8////,c-d-e-f,
53,1,99,1,1,0,9,30,5,5,0,0,0,1,1,1,1,,99,17,8////,g-h-a,kA/kE/UB/Reif auf Schneedecke
29,1,99,1,1,0,12,20,1,11,6,3,0,1,1,1,1,,,8,8////,b-c-d-e-f,
46,1,99,1,1,0,12,30,0,1,3,1,8,2,0,1,2,,,8,8////,,kE
13,1,99,1,1,0,13,10,2,3,7,3,8,1,0,0,1,3,18,5,8////,b-c-d-e-f,
13,1,99,1,1,0,13,25,2,1,7,3,8,2,1,0,1,3,18,5,8////,,
45,1,99,1,1,2,14,35,2,1,8,5,,1,2,4,1,,99,8,8////,c-d-e-f,
45,1,99,1,1,2,14,35,2,3,8,5,,4,2,1,2,,99,8,8////,,
45,1,99,1,1,2,14,40,2,1,8,5,,12,1,1,1,,99,8,8////,d,
56,1,99,1,1,0,14,40,2,4,6,5,,1,1,1,1,,99,2,8////,b-c-d,kE
58,2,99,1,1,0,18,15,2,,8,5,0,1,0,0,2,3,25,2,8////,,"UH, kE"
60,2,99,1,1,2,19,0,1,6,6,3,8,1,1,0,2,,,2,8////,,
4,2,99,1,1,0,19,15,1,6,7,5,0,1,1,0,1,0,99,8,8////,a-b-c-d-e-f-g,
92,2,99,1,1,0,19,30,2,10,8,3,0,1,1,0,1,,4,35,8////,b-c-d-e-f,kE
34,2,99,1,1,0,20,0,1,18,8,5,0,1,1,0,2,,,3,8////,,
38,2,99,1,1,0,20,0,1,3,7,3,0,1,1,0,1,,99,8,8////,a-b-c-d-e-f,kA kE
51,2,99,1,1,0,20,0,1,3,7,3,0,1,1,0,1,,99,8,8////,a-b-c-d-e-f,kA kE
