KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
44,2,88,3,29,0,20,10,2,6,8,2,0,1,1,0,1,1,48,4,8////,c-d,kE
44,2,88,3,29,,20,10,2,6,8,2,,1,1,,1,1,48,4,8////,1////,c-d
44,1,88,3,30,,15,,2,2,8,2,,2,1,,2,,29,4,8////,2////,
44,1,88,3,30,0,15,0,2,2,8,2,0,2,1,0,2,,29,4,8////,,U
44,1,88,4,9,0,6,40,2,1,8,,,1,2,1,1,2,12,4,8////,b-c-d-e,kE
44,1,88,4,9,,6,40,2,1,8,,,1,2,1,1,2,12,4,8////,1////,b-c-d-e
44,1,88,4,9,0,11,30,2,27,8,,,1,2,1,1,2,6,4,8////,a-b-c-d-e-f-g,U
44,1,88,4,9,,11,30,2,27,8,,,1,2,1,1,2,6,4,8////,1////,a-b-c-d-e-f-g
44,1,88,4,15,0,11,20,1,8,4,,0,5,2,4,1,3,62,4,8////,,
44,1,88,4,15,,11,20,1,8,4,,,5,2,4,1,3,62,4,8////,5////,
44,1,88,4,15,0,11,30,1,12,4,,0,1,3,4,1,3,62,4,8////,c-d-e/h,
44,1,88,4,15,,11,30,1,12,4,,,1,3,4,1,3,62,4,8////,1////,c-d-e/h
44,1,88,4,16,,10,55,2,3,4,,,1,3,1,1,,38,4,8////,1////,c-d/h
44,1,88,4,16,0,10,55,2,3,4,,0,1,3,1,1,,38,4,8////,c-d/h,
44,1,88,4,16,,11,40,2,9,6,,,1,1,,1,,37,4,8////,1////,b-c-d-e-f-g
44,1,88,4,16,0,11,40,2,9,6,0,,1,1,0,1,,37,4,8////,b-c-d-e-f-g,U
44,1,88,4,16,,17,30,2,2,8,,,3,1,,2,,32,4,8////,3////,
44,1,88,4,16,0,17,30,2,2,8,,,3,1,0,2,,32,4,8////,,
44,1,88,4,28,,12,50,2,21,8,,,1,2,4,2,,,4,8////,1////,
44,1,88,4,28,0,12,50,2,21,8,,0,1,2,4,2,,,4,8////,,
44,1,88,4,28,,13,,2,2,8,,,13,,,1,,,4,8////,13////,
44,1,88,4,28,0,13,0,2,2,8,,0,13,0,0,1,,,4,8////,,
44,1,88,4,28,0,16,45,2,2,8,,0,4,1,0,2,,,4,8////,,
44,1,88,4,28,,16,45,2,2,8,,,4,1,,2,,,4,8////,4////,
44,1,88,5,8,2,12,30,2,24,6,,0,1,1,0,1,,,4,8////,b-c-d-e-f-g,
44,1,88,5,8,2,16,,2,2,6,,,3,1,,2,,,4,8////,3////,
44,1,88,5,8,2,16,0,2,2,6,,0,3,1,0,2,,,4,8////,,
44,1,88,5,10,,6,,2,2,2,,,3,1,,1,,,4,8////,3////,
44,1,88,5,10,0,6,0,2,2,2,,0,3,1,0,1,,,4,8////,,
44,1,88,5,10,0,10,20,1,2,3,,0,1,2,1,2,,,4,8////,,kE
44,1,88,5,10,,10,20,1,2,3,,,1,2,1,2,,,4,8////,1////,
44,1,88,5,31,0,12,5,2,1,6,,,1,1,0,1,,1,4,8////,a-b-c-d-e-f-g,kE
